番号,型番,品名,図面番号,個数,メーカー,備考
1,B0BFPCMY7J,タイヤ,,2,Amazon,12インチ車椅子用パックレスタイヤ https://amzn.asia/d/eucIvon
2,SH-U10,コンバータ,,1,DSD TECH,USB-RS485変換
3,WP12-12,完全密封型鉛蓄電池,,2,LONG,12V12Ah_F2端子
4,JTABS-AM-A97-B65-T3-X10-G40-N5-L27-V65-W55-MA4,BLVR固定板,,2,MISUMI,A5052t3_取付板・ブラケット－フリー寸法タイプ－ JTAAS
5,HFS5-2020-130-TPW,アルミフレーム,,4,MISUMI,エコノミータイプ_L=130_両端タップ
6,HFS5-2020-205-TPW,アルミフレーム,,6,MISUMI,エコノミータイプ_L=205_両端タップ
7,NFS5-2020-350-LCP-RCP-AH145,アルミフレーム,,2,MISUMI,エコノミータイプ_L=350_レンチ穴複数
8,NFS5-2020-455-LCV-RCP-AH250-AV30-AP115,アルミフレーム,,2,MISUMI,エコノミータイプ_L=455_レンチ穴複数
9,NFS5-2040-60-TPW,アルミフレーム2040,,2,MISUMI,エコノミータイプ_L=60_両端タップ
10,NFS5-2040-245-LCH-RCH,アルミフレーム2040,,1,MISUMI,エコノミータイプ_L=245_左右端水平レンチ穴
11,HNTT5-5,アルミフレーム用先入れナット,,22,MISUMI,5シリーズ用_M5_三価クロメート
12,C-CJFJ100-T,キャスター,,2,MISUMI,車輪径100mm_キャスタ TPRキャスタ 自在タイプ
13,NBQE-ABS-A92-B64-T8-F72-G44.5-M8-L36-V20-W20-Q2.5-ZA5-CAC4-CBC4-CCC4-CDC4,キャスター固定板,,2,MISUMI,ABSt8_樹脂ﾌﾟﾚｰﾄ･ﾌﾞﾛｯｸ-ｴﾝﾌﾟﾗ系-
14,RSXB-SU-D15-L144-Y74-E55-H41-Q12-G8-J10-M8-F15-S2-P9-V8-K10-MA8-KC3-A60,シャフト,,2,MISUMI,回転軸-両端1段付きﾀｲﾌﾟ/両端2段付きﾀｲﾌﾟｰ
15,SHRE-AM-H56-L21-D28-T10-P15-Q44-M5-F0-MA0-MXC,ダイヤ固定用ハブ,,2,MISUMI,ｼｬﾌﾄ/支柱ﾎﾙﾀﾞ-ｽﾄﾚｰﾄﾀｲﾌﾟ-
16,HNTL1N-ST3W-M6,ナイロンナット,,8,MISUMI,M6_三価クロメート
17,HNTL1N-ST3W-M8,ナイロンナット,,4,MISUMI,M8_三価ホワイト
18,HCJ5,ブラインドジョイント,,28,MISUMI,5シリーズ_スクリュージョイント
19,HPTSD5,プレートブラケット,,1,MISUMI,5シリーズ用正方形t2.3_三価クロメート
20,JTAAS-AM-A57-B79-T3-X6-G66.5-N6-L41.8-W63-NA5,モータ固定板,,4,MISUMI,A5052t3_板金　取付板・ブラケット－フリー寸法タイプ－ JTAAS
21,SPWF8,ワッシャ,,4,MISUMI,外17-内8.4-t1.6_SUS
22,KESS5-60,平行キー,,2,MISUMI,W=5_L=60_両R_ステンレス
23,CBE4-15,六角穴付ボルト,,4,MISUMI,M4-15_三価ホワイト
24,CBE5-8,六角穴付ボルト,,22,MISUMI,M5-8_三価ホワイト
25,CBE5-20,六角穴付ボルト,,6,MISUMI,M5-20_三価ホワイト
26,CBE6-70,六角穴付ボルト,,8,MISUMI,M6-70_三価ホワイト
27,CBE8-10,六角穴付ボルト,,8,MISUMI,M8-10_三価ホワイト
28,BLMR460SHK-GFV/GFS4G30FR,ギアヘッド付ブラシレスモータ,,2,オリエンタルモーター,BLVシリーズRタイプ_中空軸フラットギヤヘッド_60W
29,BLVD-KRD,モータードライバ,,2,オリエンタルモーター,BLVシリーズ Rタイプ
30,LC03D06A,電源ケーブル,,2,オリエンタルモーター,主電源（DC24V/48V）用長さ 0.6m_UL1007AWG16
